,doc_id,content,person_matched,company_matched,split_sentence_index
0,2023120100000939360&&0,英再有城市破产 诺定咸超支2.3亿。继英国第二大城市伯明翰市议会9月初宣布破产后，英国中部城市诺定咸（Nottingham）市议会也于周三（29日）宣布破产，当局归因于福利需求上升及通胀等全国性因素。事实上，市议会在理财上一直为人诟病，。...。订阅hket.com即送 GNC男士综合维他命加强版 (价值$268)。详情。登入了解详情,[],['Nottingham'],0
1,2023120100001090313&&0,中央谷长三角 宁沪盈利复增。  江苏宁沪高速（00177）主业务是收费路桥的投资、建设、营运和管理，经营区域在长江三角洲，是江苏省唯一上市路桥公司。而公司盈利经过2022年倒退后，今年可以恢复增长，中央重申推动长江经济带高质量发展，   订阅hket.com即送 GNC男士综合维他命加强版 (价值$268) 详情 。 登入 。 了解详情 。 撰文 : 余少文 。 栏名 : 中字股实力谈,[],[],0
2,2023121900002995017&&0,东软熙康（０９６８６）独董方唯一辞任，齐国先接任。 　　《经济通通讯社１９日专讯》东软熙康（０９６８６）公布，方唯一辞任独立非执行董事，。 而齐国先获委任为独立非执行董事、薪酬委员会成员、提名委员会成员及战略委员会成员，均自。 昨天起生效。 　　该集团指，齐国先担任中国医科大学附属第一医院老年医学科教授及主任医师，年度董事袍。 金为１５万元。至于方唯一因个人工作安排而辞任，他已确认与董事会概无意见分歧，亦无任何。 有关辞任事宜须股东及联交所垂注。（ｗｈ）,['方唯'],[],0
3,2023122100001384938&&0,"毛记葵涌开市“唛高”近7倍。【明报专讯】向来交投淡静的毛记葵涌（1716），昨日在开市不久即录抢价成交，大幅“唛高”6.82倍至3.05元，迅即录得4000股成交。之后其做价回软，但引起持货者相对在高位试以高价出货并继续录得成交，并且在0.68元至0.72元录得活跃交投，涉资142.4万元，占昨日总成交193万元中的73.8%。做价比过去两个月在0.35元至0.5元的范围高。全日计毛记葵涌股价收报0.63元，升61.54%，单日市值暴涨6480万元，增至1.7亿元。在该股持股4.4%的万华媒体（0426）亦随之水涨船高，全日升8.89%并高见0.049元，手上的毛记葵涌货值达756万元。若赶及在3.05元摸高沽出毛记葵涌者，相对周二收市价未计手续费，沽出4000股料账面赚10,640元。0.68元至0.72元交投占比74%。即使用昨天收市价计，投资者每手2000股未计手续费账面单日亦赚480元。资料显示，该股自今年初已获人称Ken Sir的吕宇健增持至6.01%，他手上持股单日账面亦赚389.47万元",[],['Ken Sir'],0
4,2023122100002680716&&0,九方财富（０９６３６）首席执行官才子辞任，主席陈文彬兼任。 　　《经济通通讯社２１日专讯》九方财富（０９６３６）公布，才子辞任首席执行官，主席陈。 文彬已由非执行董事调任为执行董事，并获委任为首席执行官，而陈冀庚已由非执行董事调任为。 执行董事，并获委任为首席执行官，均自昨天起生效。 　　该集团指，才子已因工作重心由该集团转移至其附属公司而辞任首席执行官，他仍将担任执。 行董事，负责附属公司的业务管理。才子已确认与董事会无意见分歧，亦无有关辞任事项须股东。 及联交所垂注。（ｗｈ）,[],[],0
5,2023122100003898356&&0,日本大发汽车碰撞测试爆造假 即暂停国内外出货 丰田部分车款受影响。美联社。日本最大汽车制造商丰田的子公司大发（Daihatsu）车厂被揭碰撞安全测试结果造假，即时暂停国内外所有车型出货。丰田也表示停止大发生产的部分丰田车款出货。大发总裁奥平宗一郎在周三的新闻发布会上与一众管理层鞠躬认错，但表明不会辞职，称因为希望采取措施补救局面。美联社。大发汽车月前被揭6款车型疑似碰撞测试资料造假，独立调查小组昨日发表报告，最新认定除前述问题外，还发现 25 个测试类别中的 174 项安全测试和其他程序违规行为，而数据造假范围几乎遍及大发全部车型，连向丰田（Toyota Motor）、马自达（MAZDA）和速霸陆（SUBARU）供应的汽车，都被牵连其中，总计64款车型，最早追溯至1989年的产品。数据造假范围几乎遍及大发全部车型，连向丰田（Toyota Motor）供应的汽车，都被牵连其中。路透社。出席记者会的律师兼调查小组成员海见诚 (Makoto Kaiami) 表示，为了满足管理层紧迫的开发期限要求，工人们在压力下采取了作弊行为，管理层应该承担责任。“我们很抱歉辜负了客户的信任,['Makoto Kaiami'],['Toyota Motor'],0
6,2023122100003898356&&1,”大发总裁奥平宗一郎在周三的新闻发布会上与一众管理层鞠躬认错，但表明不会辞职，称因为希望采取措施补救局面。大发是丰田全资子公司，专门生产在日本国内流行的小型车和卡车。根据日本轻型汽车协会联合会统计，去年大发轻型车的在日本境内销量超过56.5万辆，位居日本第一，市占率约33%。—。《星岛申诉王》将推出全新项目“区区有申诉”，并增设“我要赞佢”栏目，现诚邀市民投稿赞扬身边好人好事，共建更有爱社区。立即“我要赞佢”︰ https://bit.ly/3uJ3yyF,['Makoto Kaiami'],['Toyota Motor'],1
7,2023122121770324809&&0,前“华人首富”︱赵长鹏因洗钱罪再被罚近222亿 仍在美国被扣留。前“华人首富”︱赵长鹏因洗钱罪再被罚近222亿 仍在美国被扣留。昔日华人首富再被美国重罚，累计罚单逾72亿美元。 路透社。美国商品期货交易委员会（CFTC）当地时间12月18日表示，伊利诺伊州北区地方法院批准了此前宣布的和解协议。法院对加密货币巨头“币安”（Binance）创始人、前“华人首富”赵长鹏处以1.5亿美元的民事罚款，并勒令币安退还13.5亿美元的非法交易费用，还对该公司处以13.5亿美元的罚款，合计为28.5亿美元（约港币222.5亿元）。实际上，上个月底，赵长鹏就已经与美国司法部达成和解协议，同意对刑事和民事指控认罪，并辞去币安CEO一职，以换取币安得以继续在美国运营。同时，币安认罪并同意支付总计43亿美元的罚款。当时赵长鹏说，“今天，我辞去币安首席执行官职务。诚然，情感上的放下并不容易。但我知道这是正确的做法。我犯了错误，我必须承担责任。这对我们的社区、币安和我自己都是最好的。”。“币安不再是婴儿了。现在是我让它走、跑的时候了。我知道币安将继续发展并凭借其强大的后备力量而脱颖而出。”,['Brian Tsuchida'],['CFTC'],0
8,2023122121770324809&&1,目前币安和赵长鹏累计付出72.16亿美元（约合港币563亿元）。尽管已经缴纳天价罚款，但币安及赵长鹏的未来仍然是未知数。2022年1月，赵长鹏以净资产941亿美元，超过了农夫山泉创始人钟睒睒，一度成为“华人首富”。 路透社。币安前CEO赵长鹏再被美国重罚222亿元，累计罚单已超563亿元。 路透社。上个月底，赵长鹏就已经与美国司法部达成和解协议，同意对刑事和民事指控认罪，并辞去币安CEO一职。 路透社。2017年6月，赵长鹏创建了币安。 路透社。赵长鹏愿意通过认罪认罚，是希望避免漫长的法律诉讼过程，减轻潜在的法律风险。案情回顾。今年3月，CFTC对币安和赵长鹏提出指控，理由包括币安在赵长鹏的指示下，积极非法招揽美国客户，并直接在币安平台及量化交易公司上进行数位资产衍生品交易。此外，CFTC还发现，赵长鹏和币安其他高级管理层为客户违反美国法律提供便利，包括指示美国客户逃避合规控制。在CFTC提出指控后，今年11月，美国司法部与币安和赵长鹏达成和解协定。赵长鹏认罪后已签署了1.75亿美元的个人担保保证金，但他并不能离开美国。根据法院的裁决，赵长鹏面临最高 18 个月的监禁,['Brian Tsuchida'],['CFTC'],1
9,2023122121770324809&&2,他将留在美国，直至2024年2月23日宣判为止。由于他主动认罪，他的最终刑期预计不超过18个月。赵长鹏的律师敦促美国法官驳回司法部禁止赵长鹏返回阿拉伯联合酋长国家中的请求，直至他因违反反洗钱要求被判刑。赵长鹏拥有阿联酋和加拿大国籍。美国司法部已要求推翻美国治安法官布赖恩（Brian Tsuchida）的决定，即允许赵在2月23日宣判之前返回阿联酋。政府表示，鉴于与阿联酋没有引渡条约，且赵长鹏是一位拥有大量资产的亿万富翁，如果他选择不返回美国接受判决，政府可能无法确保他回国。但赵长鹏的律师辩称，赵长鹏通过同意“大量”保释方案并自愿来到美国接受对其行为的责任，证明了他不存在潜逃风险。辩护律师辩称，允许赵长鹏返回阿联酋将使他能照顾他的伴侣和三个孩子，并为他们的量刑做好准备。据悉，赵长鹏有两个孩子是与币圈一姐何一所生，不过，两人并未结婚。2022年拥资产7346亿。据2022年1月彭博亿万富豪榜，赵长鹏以净资产941亿美元（约合7346亿元港币），超过了农夫山泉创始人钟睒睒，一度成为“华人首富”,['Brian Tsuchida'],['CFTC'],2
